,X0,Y0,X1,Y1,X2,Y2
0,0.0,0.0,1655.7629925960064,-157.0,322.2878807059951,-387.0
1,0.0,0.0,1267.819282878714,24.0,441.2924885294605,-123.0
2,0.0,0.0,1978.3915752287887,266.0,289.62917439214647,336.0
3,0.0,0.0,2486.261452756357,-336.0,783.8944860661262,-75.0
4,0.0,0.0,358.5314763440461,-179.0,2377.783210046936,-174.0
5,0.0,0.0,2368.2745800938424,93.0,1188.691400571278,16.0
6,0.0,0.0,607.7911026936807,-78.0,2791.4818331670613,-382.0
7,0.0,0.0,2570.4748611277937,360.0,1674.8193596104459,478.0
8,0.0,0.0,716.5058928371492,-3.0,1608.6687211440506,-79.0
9,0.0,0.0,479.9923427589779,-285.0,2039.6320462110807,-267.0
10,0.0,0.0,441.88384599524846,-219.0,1005.5527139275637,-159.0
11,0.0,0.0,342.05845542836096,-107.0,3145.357451035615,-351.0
12,0.0,0.0,2969.3210397183857,407.0,1922.696789254794,223.0
13,0.0,0.0,852.8184725029546,229.0,3452.7778489334446,216.0
14,0.0,0.0,2361.69688923898,238.0,3385.225532773637,167.0
15,0.0,0.0,1922.6497698239987,161.0,721.0744119941493,-34.0
16,0.0,0.0,375.97404763719663,-53.0,2531.682913375253,182.0
17,0.0,0.0,963.45885865608,-310.0,3596.971723840126,-42.0
18,0.0,0.0,508.4041309114132,56.0,2729.2588252697096,-221.0
19,0.0,0.0,442.78961073888877,-111.0,1999.423129237171,40.0
20,0.0,0.0,3091.7860665767353,242.0,391.5015479420649,185.0
21,0.0,0.0,2495.144088284161,-79.0,558.3381529792141,-281.0
22,0.0,0.0,2058.9667155174016,182.0,501.3694597368866,137.0
23,0.0,0.0,2867.6269153793683,37.0,1734.7818031451736,206.0
24,0.0,0.0,1886.0438272268807,-261.0,2588.168931584867,-395.0
25,0.0,0.0,707.7370145250826,113.0,2582.266231433129,-50.0
26,0.0,0.0,3085.364529043903,-331.0,567.9353077257298,-191.0
27,0.0,0.0,2620.775053551839,185.0,2039.8503247090805,238.0
28,0.0,0.0,2656.3270679191164,341.0,781.2857956046564,375.0
29,0.0,0.0,1528.0200151805993,322.0,3716.6238221551976,150.0
30,0.0,0.0,2866.223438574882,248.0,882.6993456661094,325.0
31,0.0,0.0,2853.374797017757,137.0,397.82298712282824,463.0
32,0.0,0.0,527.8430098135664,-339.0,2407.284957507947,-282.0
33,0.0,0.0,2866.411812434503,-266.0,2164.8116042143865,-191.0
34,0.0,0.0,901.1577431705664,26.0,3520.8859286113866,250.0
35,0.0,0.0,1609.7178044125824,-157.0,2084.249149978304,-76.0
36,0.0,0.0,2361.501094360417,-135.0,3060.2633367169337,-114.0
37,0.0,0.0,992.2830231718912,-27.0,3248.1614443564063,-273.0
38,0.0,0.0,151.94946202697656,-236.0,3384.671825851704,166.0
39,0.0,0.0,1346.5102359654545,108.0,173.50961669450268,248.0
40,0.0,0.0,3349.5970629203716,-121.0,2201.675042531233,-327.0
41,0.0,0.0,2801.2049754068607,258.0,1552.0245962101185,32.0
42,0.0,0.0,2282.8697326386277,272.0,1173.5797520305127,384.0
43,0.0,0.0,1647.3236225782807,-260.0,2324.560093991706,-262.0
44,0.0,0.0,1746.4719014253487,-235.0,2728.1327024475554,-211.0
45,0.0,0.0,734.3036888995666,193.0,1864.721257050212,97.0
46,0.0,0.0,3481.639280599201,-71.0,1607.5718636339466,-243.0
47,0.0,0.0,668.0657036556357,234.0,1640.6201317418295,132.0
48,0.0,0.0,521.7290152314645,-172.0,3027.0809867090666,-27.0
49,0.0,0.0,97.8801710041198,-409.0,1702.9390122157595,-206.0
50,0.0,0.0,873.0127517544342,-48.0,294.88908048724807,-6.0
51,0.0,0.0,3220.8639097761024,-472.0,1844.4564080453656,-360.0
52,0.0,0.0,2292.75558013236,-149.0,746.8467387879429,-287.0
53,0.0,0.0,2155.445080923531,-143.0,604.9887982102288,-265.0
54,0.0,0.0,2633.426233227181,-262.0,543.2652889758128,-338.0
55,0.0,0.0,1715.3231377837164,-128.0,2833.475022744354,-299.0
56,0.0,0.0,539.5308844391461,-66.0,1813.2804519474728,-170.0
57,0.0,0.0,2076.4348109333873,294.0,3084.0978832138208,299.0
58,0.0,0.0,3409.810969526737,218.0,502.6034444443203,49.0
59,0.0,0.0,1501.3897855277014,225.0,1969.64408367832,284.0
60,0.0,0.0,2825.8583410091514,163.0,1104.1549403030276,168.0
61,0.0,0.0,3313.7324018891168,-294.0,2407.037409212096,-360.0
62,0.0,0.0,427.2752742658895,-254.0,3494.7383091201477,45.0
